(6,3)	(18,1);22.45588	null;NaN	null;NaN	(6,4);36.03942
(6,4)	(18,0);22.00839	(6,3);36.03942	null;NaN	null;NaN
(7,3)	(18,2);18.57084	null;NaN	(18,1);18.84331	(7,4);30.05401
(7,4)	(18,3);25.14403	(7,3);30.05401	(18,0);20.57372	(7,5);27.86794
(7,5)	(18,4);26.99782	(7,4);27.86794	null;NaN	null;NaN
(8,3)	null;NaN	null;NaN	(18,2);32.00496	(8,4);26.15493
(8,4)	null;NaN	(8,3);26.15493	(18,3);27.22825	(8,5);25.13864
(8,5)	null;NaN	(8,4);25.13864	(18,4);20.95854	(8,6);25.02792
(8,6)	(17,6);25.56259	(8,5);25.02792	null;NaN	(8,7);25.02772
(8,7)	(17,7);23.2761	(8,6);25.02772	null;NaN	null;NaN
(9,7)	null;NaN	(16,9);26.22005	null;NaN	(16,8);24.43733
(9,8)	(10,7);23.56189	null;NaN	(16,8);17.80302	(9,9);18.27928
(9,9)	(10,9);10.69557	(9,8);18.27928	null;NaN	null;NaN
(9,10)	(15,7);29.35477	null;NaN	null;NaN	(15,8);21.40756
(10,6)	(11,7);36.44255	null;NaN	null;NaN	(10,7);17.59238
(10,7)	null;NaN	(10,6);17.59238	(9,8);23.56189	(10,8);17.94347
(10,8)	(11,8);35.86976	(10,7);17.94347	null;NaN	(10,9);22.88324
(10,9)	null;NaN	(10,8);22.88324	(9,9);10.69557	null;NaN
(10,10)	(13,13);22.25088	null;NaN	(13,1);27.06553	(13,14);28.63756
(10,11)	null;NaN	(15,14);22.65835	(15,18);31.40827	null;NaN
(10,12)	null;NaN	(15,2);30.29379	(15,3);17.08804	null;NaN
(10,13)	(13,4);32.91713	null;NaN	(13,3);29.26063	(12,5);34.88321
(10,14)	(18,5);22.58187	(13,4);18.38136	null;NaN	(12,11);24.91728
(11,3)	null;NaN	(15,16);15.00739	null;NaN	(15,15);29.60903
(11,4)	null;NaN	(15,15);33.00761	null;NaN	(16,9);16.8459
(11,5)	null;NaN	(12,4);12.28889	null;NaN	(11,6);12.38318
(11,6)	null;NaN	(11,5);12.38318	null;NaN	(11,7);22.86783
(11,7)	(12,7);22.20734	(11,6);22.86783	(10,6);36.44255	(11,8);34.94876
(11,8)	(12,8);38.99556	(11,7);34.94876	(10,8);35.86976	null;NaN
(11,12)	null;NaN	(15,1);32.76567	(18,13);16.95708	(15,2);22.84299
(11,13)	null;NaN	null;NaN	(15,4);23.83871	(15,1);36.79309
(11,14)	(15,4);27.1238	null;NaN	(15,5);28.90159	null;NaN
(12,3)	(13,3);19.10085	(13,2);28.49404	null;NaN	null;NaN
(12,4)	(12,5);40.17911	null;NaN	null;NaN	(11,5);12.28889
(12,5)	(13,5);30.61261	(10,13);34.88321	(12,4);40.17911	(12,6);26.71719
(12,6)	(15,17);20.99905	(12,5);26.71719	null;NaN	(12,7);20.29586
(12,7)	(15,21);33.20932	(12,6);20.29586	(11,7);22.20734	(12,8);41.08204
(12,8)	(12,9);25.27187	(12,7);41.08204	(11,8);38.99556	null;NaN
(12,9)	(15,19);17.55275	(18,7);31.52518	(12,8);25.27187	(12,10);30.26196
(12,10)	(15,20);33.60374	(12,9);30.26196	null;NaN	null;NaN
(12,11)	null;NaN	(10,14);24.91728	(13,6);18.324	(12,13);13.75076
(12,13)	(19,1);27.28418	(12,11);13.75076	(13,7);19.89832	(18,6);23.50834
(12,14)	(14,12);36.46614	(15,12);33.30664	(15,13);30.22952	(15,14);27.49277
(13,1)	(10,10);27.06553	(15,8);34.47477	null;NaN	(15,9);30.32286
(13,2)	(13,14);34.66246	(15,9);28.02219	null;NaN	(12,3);28.49404
(13,3)	(10,13);29.26063	null;NaN	(12,3);19.10085	(15,16);32.83989
(13,4)	(18,8);24.48768	(14,4);32.98141	(10,13);32.91713	(10,14);18.38136
(13,5)	null;NaN	null;NaN	(12,5);30.61261	(13,6);27.58648
(13,6)	(12,11);18.324	(13,5);27.58648	(15,17);30.46474	null;NaN
(13,7)	(12,13);19.89832	null;NaN	null;NaN	(13,8);25.90413
(13,8)	(15,13);26.10052	(13,7);25.90413	null;NaN	(13,9);20.17139
(13,9)	(15,18);19.21221	(13,8);20.17139	(15,19);31.28778	(13,10);24.75242
(13,10)	null;NaN	(13,9);24.75242	(15,20);27.98315	null;NaN
(13,11)	(14,8);34.16722	(13,12);32.98642	(15,11);19.64269	(19,3);28.59261
(13,12)	null;NaN	(13,13);25.58945	(14,3);24.20766	(13,11);32.98642
(13,13)	(14,2);35.86412	null;NaN	(10,10);22.25088	(13,12);25.58945
(13,14)	(14,3);18.73709	(10,10);28.63756	(13,2);34.66246	(15,10);24.84
(14,0)	(15,6);25.75072	null;NaN	(15,7);23.41013	(14,1);26.53839
(14,1)	(14,6);35.28675	(14,0);26.53839	null;NaN	(14,2);29.68105
